gene	Sham_C.WNVp_C	WNVp_C.WNVp_WNV	Sham_WNV.WNVp_WNV	WNVp_WNV.WNVp_JEV	Sham_JEV.WNVp_JEV	Sham_C.Sham_WNV	Sham_C.Sham_JEV	Sham_C.WNVp_WNV	Sham_C.WNVp_JEV	Name	description	attributes
CPIJ004340	0	0	0	0	1	0	0	0	1		AMPK-beta subunit [Source:VB Community Annotation]	ID=gene:CPIJ004340;biotype=protein_coding;description=AMPK-beta subunit [Source:VB Community Annotation];gene_id=CPIJ004340;logic_name=vectorbase_culex
CPIJ004344	0	0	0	0	1	0	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WBL9]	ID=gene:CPIJ004344;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WBL9];gene_id=CPIJ004344;logic_name=vectorbase_culex
CPIJ004346	0	0	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WBM1]	ID=gene:CPIJ004346;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WBM1];gene_id=CPIJ004346;logic_name=vectorbase_culex
CPIJ004350	0	0	0	0	0	0	0	0	1		Predicted protein [Source:UniProtKB/TrEMBL%3BAcc:B0WBM5]	ID=gene:CPIJ004350;biotype=protein_coding;description=Predicted protein [Source:UniProtKB/TrEMBL%3BAcc:B0WBM5];gene_id=CPIJ004350;logic_name=vectorbase_culex
CPIJ004359	0	0	0	1	0	1	1	0	1		Coiled-coil domain-containing protein 130 [Source:UniProtKB/TrEMBL%3BAcc:B0WBN4]	ID=gene:CPIJ004359;biotype=protein_coding;description=Coiled-coil domain-containing protein 130 [Source:UniProtKB/TrEMBL%3BAcc:B0WBN4];gene_id=CPIJ004359;logic_name=vectorbase_culex
CPIJ004388	0	0	0	0	0	0	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WB90]	ID=gene:CPIJ004388;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WB90];gene_id=CPIJ004388;logic_name=vectorbase_culex
CPIJ004390	0	0	0	0	1	0	0	0	0		Pyruvate dehydrogenase E1 component subunit alpha [Source:UniProtKB/TrEMBL%3BAcc:B0WB92]	ID=gene:CPIJ004390;biotype=protein_coding;description=Pyruvate dehydrogenase E1 component subunit alpha [Source:UniProtKB/TrEMBL%3BAcc:B0WB92];gene_id=CPIJ004390;logic_name=vectorbase_culex
CPIJ004399	0	0	0	0	1	0	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WBA1]	ID=gene:CPIJ004399;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WBA1];gene_id=CPIJ004399;logic_name=vectorbase_culex
CPIJ004405	0	0	0	0	1	0	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WBA7]	ID=gene:CPIJ004405;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WBA7];gene_id=CPIJ004405;logic_name=vectorbase_culex
CPIJ004412	0	0	0	0	0	0	1	0	0		Potassium channel modulatory factor 1 [Source:UniProtKB/TrEMBL%3BAcc:B0WBB4]	ID=gene:CPIJ004412;biotype=protein_coding;description=Potassium channel modulatory factor 1 [Source:UniProtKB/TrEMBL%3BAcc:B0WBB4];gene_id=CPIJ004412;logic_name=vectorbase_culex
CPIJ004450	0	0	0	1	1	0	0	0	1		GTP-binding protein yptV3 [Source:UniProtKB/TrEMBL%3BAcc:B0WBF2]	ID=gene:CPIJ004450;biotype=protein_coding;description=GTP-binding protein yptV3 [Source:UniProtKB/TrEMBL%3BAcc:B0WBF2];gene_id=CPIJ004450;logic_name=vectorbase_culex
CPIJ004473	0	0	0	0	0	0	1	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WBH5]	ID=gene:CPIJ004473;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WBH5];gene_id=CPIJ004473;logic_name=vectorbase_culex
CPIJ004485	0	0	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WBI7]	ID=gene:CPIJ004485;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WBI7];gene_id=CPIJ004485;logic_name=vectorbase_culex
CPIJ004500	0	0	0	1	0	0	0	0	0		PRP38 pre-mRNA processing factor 38 domain containing B [Source:UniProtKB/TrEMBL%3BAcc:B0WBK2]	ID=gene:CPIJ004500;biotype=protein_coding;description=PRP38 pre-mRNA processing factor 38 domain containing B [Source:UniProtKB/TrEMBL%3BAcc:B0WBK2];gene_id=CPIJ004500;logic_name=vectorbase_culex
CPIJ004501	0	0	0	1	0	0	1	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WBK3]	ID=gene:CPIJ004501;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WBK3];gene_id=CPIJ004501;logic_name=vectorbase_culex
CPIJ004519	0	0	0	0	0	1	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WC49]	ID=gene:CPIJ004519;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WC49];gene_id=CPIJ004519;logic_name=vectorbase_culex
CPIJ004520	0	0	0	1	0	0	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WC50]	ID=gene:CPIJ004520;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WC50];gene_id=CPIJ004520;logic_name=vectorbase_culex
CPIJ004524	0	0	0	1	1	0	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WC54]	ID=gene:CPIJ004524;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WC54];gene_id=CPIJ004524;logic_name=vectorbase_culex
CPIJ004529	0	0	0	0	0	0	1	0	0		ubiquitin-conjugating enzyme E2-25 kDa [Source:VB Community Annotation]	ID=gene:CPIJ004529;biotype=protein_coding;description=ubiquitin-conjugating enzyme E2-25 kDa [Source:VB Community Annotation];gene_id=CPIJ004529;logic_name=vectorbase_culex
CPIJ004545	0	0	0	0	0	1	0	0	0		ribosome recycling factor%2C mitochondrial precursor [Source:VB Community Annotation]	ID=gene:CPIJ004545;biotype=protein_coding;description=ribosome recycling factor%2C mitochondrial precursor [Source:VB Community Annotation];gene_id=CPIJ004545;logic_name=vectorbase_culex
CPIJ004549	0	0	0	1	0	0	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WC79]	ID=gene:CPIJ004549;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WC79];gene_id=CPIJ004549;logic_name=vectorbase_culex
CPIJ004552	0	0	0	0	1	0	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WC82]	ID=gene:CPIJ004552;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WC82];gene_id=CPIJ004552;logic_name=vectorbase_culex
CPIJ004553	0	0	0	0	1	0	0	0	0		Predicted protein [Source:UniProtKB/TrEMBL%3BAcc:B0WC83]	ID=gene:CPIJ004553;biotype=protein_coding;description=Predicted protein [Source:UniProtKB/TrEMBL%3BAcc:B0WC83];gene_id=CPIJ004553;logic_name=vectorbase_culex
CPIJ004557	0	0	0	1	0	0	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WC87]	ID=gene:CPIJ004557;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WC87];gene_id=CPIJ004557;logic_name=vectorbase_culex
CPIJ004568	0	0	0	0	0	1	1	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WC98]	ID=gene:CPIJ004568;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WC98];gene_id=CPIJ004568;logic_name=vectorbase_culex
CPIJ004575	0	0	0	0	0	1	0	0	0		Predicted protein [Source:UniProtKB/TrEMBL%3BAcc:B0WCA5]	ID=gene:CPIJ004575;biotype=protein_coding;description=Predicted protein [Source:UniProtKB/TrEMBL%3BAcc:B0WCA5];gene_id=CPIJ004575;logic_name=vectorbase_culex
CPIJ004580	0	0	0	1	1	0	0	0	1		Coiled-coil domain-containing protein 101 [Source:UniProtKB/TrEMBL%3BAcc:B0WCB0]	ID=gene:CPIJ004580;biotype=protein_coding;description=Coiled-coil domain-containing protein 101 [Source:UniProtKB/TrEMBL%3BAcc:B0WCB0];gene_id=CPIJ004580;logic_name=vectorbase_culex
CPIJ004581	0	0	0	0	0	0	1	0	0		Polyadenylate-binding protein 2 [Source:UniProtKB/TrEMBL%3BAcc:B0WCB1]	ID=gene:CPIJ004581;biotype=protein_coding;description=Polyadenylate-binding protein 2 [Source:UniProtKB/TrEMBL%3BAcc:B0WCB1];gene_id=CPIJ004581;logic_name=vectorbase_culex
CPIJ004595	0	0	0	0	0	1	1	0	0		cytochrome b5%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ004595;biotype=protein_coding;description=cytochrome b5%2C putative [Source:VB Community Annotation];gene_id=CPIJ004595;logic_name=vectorbase_culex
CPIJ004628	0	0	0	0	1	0	0	0	0		Gelsolin precursor [Source:VB Community Annotation]	ID=gene:CPIJ004628;biotype=protein_coding;description=Gelsolin precursor [Source:VB Community Annotation];gene_id=CPIJ004628;logic_name=vectorbase_culex
CPIJ004649	0	0	0	1	0	0	0	0	1		Cell differentiation protein rcd1 [Source:UniProtKB/TrEMBL%3BAcc:B0WBV0]	ID=gene:CPIJ004649;biotype=protein_coding;description=Cell differentiation protein rcd1 [Source:UniProtKB/TrEMBL%3BAcc:B0WBV0];gene_id=CPIJ004649;logic_name=vectorbase_culex
CPIJ004652	0	0	0	0	0	1	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WBV3]	ID=gene:CPIJ004652;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WBV3];gene_id=CPIJ004652;logic_name=vectorbase_culex
CPIJ004654	0	0	0	0	0	0	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WBV5]	ID=gene:CPIJ004654;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WBV5];gene_id=CPIJ004654;logic_name=vectorbase_culex
CPIJ004675	0	0	0	0	0	0	1	0	0		serine protease%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ004675;biotype=protein_coding;description=serine protease%2C putative [Source:VB Community Annotation];gene_id=CPIJ004675;logic_name=vectorbase_culex
CPIJ004676	0	0	0	0	0	0	1	0	1		Putative uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WC03]	ID=gene:CPIJ004676;biotype=protein_coding;description=Putative uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WC03];gene_id=CPIJ004676;logic_name=vectorbase_culex
CPIJ004677	0	0	0	1	0	0	1	0	1		Transcription elongation factor S-II [Source:UniProtKB/TrEMBL%3BAcc:B0WC04]	ID=gene:CPIJ004677;biotype=protein_coding;description=Transcription elongation factor S-II [Source:UniProtKB/TrEMBL%3BAcc:B0WC04];gene_id=CPIJ004677;logic_name=vectorbase_culex
CPIJ004678	0	0	0	0	1	0	0	0	1		transcription elongation factor S-II [Source:VB Community Annotation]	ID=gene:CPIJ004678;biotype=protein_coding;description=transcription elongation factor S-II [Source:VB Community Annotation];gene_id=CPIJ004678;logic_name=vectorbase_culex
CPIJ004689	0	0	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WC16]	ID=gene:CPIJ004689;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WC16];gene_id=CPIJ004689;logic_name=vectorbase_culex
CPIJ004694	0	0	0	1	0	1	1	0	1		Mitochondrial inner membrane protease ATP23 [Source:UniProtKB/TrEMBL%3BAcc:B0WC21]	ID=gene:CPIJ004694;biotype=protein_coding;description=Mitochondrial inner membrane protease ATP23 [Source:UniProtKB/TrEMBL%3BAcc:B0WC21];gene_id=CPIJ004694;logic_name=vectorbase_culex
CPIJ004701	0	0	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WC28]	ID=gene:CPIJ004701;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WC28];gene_id=CPIJ004701;logic_name=vectorbase_culex
CPIJ004702	0	0	0	0	1	1	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WC29]	ID=gene:CPIJ004702;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WC29];gene_id=CPIJ004702;logic_name=vectorbase_culex
CPIJ004703	0	0	0	0	1	0	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WC30]	ID=gene:CPIJ004703;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WC30];gene_id=CPIJ004703;logic_name=vectorbase_culex
CPIJ004709	0	0	0	0	0	1	0	0	0		Bifunctional protein folD [Source:UniProtKB/TrEMBL%3BAcc:B0WDE9]	ID=gene:CPIJ004709;biotype=protein_coding;description=Bifunctional protein folD [Source:UniProtKB/TrEMBL%3BAcc:B0WDE9];gene_id=CPIJ004709;logic_name=vectorbase_culex
CPIJ004710	0	0	0	1	0	0	1	0	0		Bifunctional protein folD [Source:UniProtKB/TrEMBL%3BAcc:B0WDF0]	ID=gene:CPIJ004710;biotype=protein_coding;description=Bifunctional protein folD [Source:UniProtKB/TrEMBL%3BAcc:B0WDF0];gene_id=CPIJ004710;logic_name=vectorbase_culex
CPIJ004712	0	0	0	1	0	0	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WDF2]	ID=gene:CPIJ004712;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WDF2];gene_id=CPIJ004712;logic_name=vectorbase_culex
CPIJ004747	0	0	0	0	0	0	1	0	0		Smaug protein [Source:UniProtKB/TrEMBL%3BAcc:B0WDN0]	ID=gene:CPIJ004747;biotype=protein_coding;description=Smaug protein [Source:UniProtKB/TrEMBL%3BAcc:B0WDN0];gene_id=CPIJ004747;logic_name=vectorbase_culex
CPIJ004748	0	0	0	0	0	0	1	0	0		Smaug protein [Source:UniProtKB/TrEMBL%3BAcc:B0WDN1]	ID=gene:CPIJ004748;biotype=protein_coding;description=Smaug protein [Source:UniProtKB/TrEMBL%3BAcc:B0WDN1];gene_id=CPIJ004748;logic_name=vectorbase_culex
CPIJ004749	0	0	0	1	0	0	1	0	1		Zinc finger protein [Source:UniProtKB/TrEMBL%3BAcc:B0WDN2]	ID=gene:CPIJ004749;biotype=protein_coding;description=Zinc finger protein [Source:UniProtKB/TrEMBL%3BAcc:B0WDN2];gene_id=CPIJ004749;logic_name=vectorbase_culex
CPIJ004760	0	0	0	1	0	0	0	0	0		low-Mr GTP-binding protein Rab31%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ004760;biotype=protein_coding;description=low-Mr GTP-binding protein Rab31%2C putative [Source:VB Community Annotation];gene_id=CPIJ004760;logic_name=vectorbase_culex
CPIJ004772	0	0	0	0	0	1	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WCE8]	ID=gene:CPIJ004772;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WCE8];gene_id=CPIJ004772;logic_name=vectorbase_culex
CPIJ004773	0	0	0	0	0	1	1	0	0		Partner of sld5 [Source:UniProtKB/TrEMBL%3BAcc:B0WCE9]	ID=gene:CPIJ004773;biotype=protein_coding;description=Partner of sld5 [Source:UniProtKB/TrEMBL%3BAcc:B0WCE9];gene_id=CPIJ004773;logic_name=vectorbase_culex
CPIJ004779	0	0	0	0	1	0	0	0	0		Reticulon/nogo [Source:UniProtKB/TrEMBL%3BAcc:B0WCF5]	ID=gene:CPIJ004779;biotype=protein_coding;description=Reticulon/nogo [Source:UniProtKB/TrEMBL%3BAcc:B0WCF5];gene_id=CPIJ004779;logic_name=vectorbase_culex
CPIJ004782	0	0	0	0	1	0	0	0	1		chondroitin 4-sulfotransferase%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ004782;biotype=protein_coding;description=chondroitin 4-sulfotransferase%2C putative [Source:VB Community Annotation];gene_id=CPIJ004782;logic_name=vectorbase_culex
CPIJ004794	0	0	0	0	1	0	0	0	1		Vacuolar ATP synthase 21 kDa proteolipid subunit [Source:UniProtKB/TrEMBL%3BAcc:B0WCH0]	ID=gene:CPIJ004794;biotype=protein_coding;description=Vacuolar ATP synthase 21 kDa proteolipid subunit [Source:UniProtKB/TrEMBL%3BAcc:B0WCH0];gene_id=CPIJ004794;logic_name=vectorbase_culex
CPIJ004813	0	0	0	1	0	0	0	0	0		Homeobox protein cdx [Source:UniProtKB/TrEMBL%3BAcc:B0WCI9]	ID=gene:CPIJ004813;biotype=protein_coding;description=Homeobox protein cdx [Source:UniProtKB/TrEMBL%3BAcc:B0WCI9];gene_id=CPIJ004813;logic_name=vectorbase_culex
CPIJ004814	0	0	0	0	0	1	0	0	0		Proteasome maturation protein [Source:UniProtKB/TrEMBL%3BAcc:B0WCJ0]	ID=gene:CPIJ004814;biotype=protein_coding;description=Proteasome maturation protein [Source:UniProtKB/TrEMBL%3BAcc:B0WCJ0];gene_id=CPIJ004814;logic_name=vectorbase_culex
CPIJ004815	0	0	0	0	0	1	1	0	0		Uricase [Source:UniProtKB/TrEMBL%3BAcc:B0WCJ1]	ID=gene:CPIJ004815;biotype=protein_coding;description=Uricase [Source:UniProtKB/TrEMBL%3BAcc:B0WCJ1];gene_id=CPIJ004815;logic_name=vectorbase_culex
CPIJ004816	0	0	0	0	0	0	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WCJ2]	ID=gene:CPIJ004816;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WCJ2];gene_id=CPIJ004816;logic_name=vectorbase_culex
CPIJ004830	0	0	0	0	0	0	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WCK6]	ID=gene:CPIJ004830;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WCK6];gene_id=CPIJ004830;logic_name=vectorbase_culex
CPIJ004835	0	0	0	0	0	0	1	0	0		catrin%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ004835;biotype=protein_coding;description=catrin%2C putative [Source:VB Community Annotation];gene_id=CPIJ004835;logic_name=vectorbase_culex
CPIJ004836	0	0	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WCQ1]	ID=gene:CPIJ004836;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WCQ1];gene_id=CPIJ004836;logic_name=vectorbase_culex
CPIJ004850	0	0	0	0	0	1	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WCR5]	ID=gene:CPIJ004850;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WCR5];gene_id=CPIJ004850;logic_name=vectorbase_culex
CPIJ004855	0	0	0	1	0	0	0	0	1		Cyclin-H [Source:UniProtKB/TrEMBL%3BAcc:B0WCS0]	ID=gene:CPIJ004855;biotype=protein_coding;description=Cyclin-H [Source:UniProtKB/TrEMBL%3BAcc:B0WCS0];gene_id=CPIJ004855;logic_name=vectorbase_culex
CPIJ004858	0	0	0	0	1	0	0	0	0		GTP-binding protein YPTC4 [Source:UniProtKB/TrEMBL%3BAcc:B0WCS3]	ID=gene:CPIJ004858;biotype=protein_coding;description=GTP-binding protein YPTC4 [Source:UniProtKB/TrEMBL%3BAcc:B0WCS3];gene_id=CPIJ004858;logic_name=vectorbase_culex
CPIJ004860	0	0	0	0	0	1	0	0	0		Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0WCS5]	ID=gene:CPIJ004860;biotype=protein_coding;description=Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0WCS5];gene_id=CPIJ004860;logic_name=vectorbase_culex
CPIJ004861	0	0	0	0	0	0	1	0	0		Ribonuclease H2 subunit B [Source:UniProtKB/TrEMBL%3BAcc:B0WCS6]	ID=gene:CPIJ004861;biotype=protein_coding;description=Ribonuclease H2 subunit B [Source:UniProtKB/TrEMBL%3BAcc:B0WCS6];gene_id=CPIJ004861;logic_name=vectorbase_culex
CPIJ004863	0	0	0	0	0	0	1	0	0		Deoxycytidylate deaminase [Source:UniProtKB/TrEMBL%3BAcc:B0WCS8]	ID=gene:CPIJ004863;biotype=protein_coding;description=Deoxycytidylate deaminase [Source:UniProtKB/TrEMBL%3BAcc:B0WCS8];gene_id=CPIJ004863;logic_name=vectorbase_culex
CPIJ004872	0	0	0	1	0	0	0	0	0		protein phosphatase 2C isoform beta [Source:VB Community Annotation]	ID=gene:CPIJ004872;biotype=protein_coding;description=protein phosphatase 2C isoform beta [Source:VB Community Annotation];gene_id=CPIJ004872;logic_name=vectorbase_culex
CPIJ004893	0	0	0	0	1	0	0	0	1		Bax inhibitor [Source:UniProtKB/TrEMBL%3BAcc:B0WCY9]	ID=gene:CPIJ004893;biotype=protein_coding;description=Bax inhibitor [Source:UniProtKB/TrEMBL%3BAcc:B0WCY9];gene_id=CPIJ004893;logic_name=vectorbase_culex
CPIJ004894	0	0	0	0	1	0	0	0	1		Bax inhibitor [Source:UniProtKB/TrEMBL%3BAcc:B0WCZ0]	ID=gene:CPIJ004894;biotype=protein_coding;description=Bax inhibitor [Source:UniProtKB/TrEMBL%3BAcc:B0WCZ0];gene_id=CPIJ004894;logic_name=vectorbase_culex
CPIJ004905	0	0	0	1	1	0	0	0	0		fk506 binding protein [Source:VB Community Annotation]	ID=gene:CPIJ004905;biotype=protein_coding;description=fk506 binding protein [Source:VB Community Annotation];gene_id=CPIJ004905;logic_name=vectorbase_culex
CPIJ004912	0	0	0	0	1	1	0	0	1	LRIM14	leucine-rich immune protein (Short) [Source:VB Community Annotation]	ID=gene:CPIJ004912;Name=LRIM14;biotype=protein_coding;description=leucine-rich immune protein (Short) [Source:VB Community Annotation];gene_id=CPIJ004912;logic_name=vectorbase_culex
CPIJ004924	0	0	0	0	1	1	0	0	0	LRIM1	leucine-rich immune protein (Long) [Source:VB Community Annotation]	ID=gene:CPIJ004924;Name=LRIM1;biotype=protein_coding;description=leucine-rich immune protein (Long) [Source:VB Community Annotation];gene_id=CPIJ004924;logic_name=vectorbase_culex
CPIJ004933	0	0	0	0	0	1	0	0	0		Sorcin [Source:UniProtKB/TrEMBL%3BAcc:B0WCM0]	ID=gene:CPIJ004933;biotype=protein_coding;description=Sorcin [Source:UniProtKB/TrEMBL%3BAcc:B0WCM0];gene_id=CPIJ004933;logic_name=vectorbase_culex
CPIJ004943	0	0	0	0	0	0	0	0	1		Putative uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WCN0]	ID=gene:CPIJ004943;biotype=protein_coding;description=Putative uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WCN0];gene_id=CPIJ004943;logic_name=vectorbase_culex
CPIJ004973	0	0	0	0	0	0	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WD30]	ID=gene:CPIJ004973;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WD30];gene_id=CPIJ004973;logic_name=vectorbase_culex
CPIJ004991	0	0	0	0	0	1	0	0	0		Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL%3BAcc:B0WD48]	ID=gene:CPIJ004991;biotype=protein_coding;description=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL%3BAcc:B0WD48];gene_id=CPIJ004991;logic_name=vectorbase_culex
CPIJ005009	0	0	0	0	0	0	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WD66]	ID=gene:CPIJ005009;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WD66];gene_id=CPIJ005009;logic_name=vectorbase_culex
CPIJ005015	0	0	0	1	0	1	1	0	1		ICLn protein [Source:UniProtKB/TrEMBL%3BAcc:B0WD72]	ID=gene:CPIJ005015;biotype=protein_coding;description=ICLn protein [Source:UniProtKB/TrEMBL%3BAcc:B0WD72];gene_id=CPIJ005015;logic_name=vectorbase_culex
CPIJ005016	0	0	0	0	0	0	1	0	0		Origin recognition complex subunit 6 [Source:UniProtKB/TrEMBL%3BAcc:B0WD73]	ID=gene:CPIJ005016;biotype=protein_coding;description=Origin recognition complex subunit 6 [Source:UniProtKB/TrEMBL%3BAcc:B0WD73];gene_id=CPIJ005016;logic_name=vectorbase_culex
CPIJ005033	0	0	0	0	0	1	1	0	0		Nucleolar protein NHP2 [Source:UniProtKB/TrEMBL%3BAcc:B0WDU0]	ID=gene:CPIJ005033;biotype=protein_coding;description=Nucleolar protein NHP2 [Source:UniProtKB/TrEMBL%3BAcc:B0WDU0];gene_id=CPIJ005033;logic_name=vectorbase_culex
CPIJ005045	0	0	0	0	0	0	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WDV2]	ID=gene:CPIJ005045;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WDV2];gene_id=CPIJ005045;logic_name=vectorbase_culex
CPIJ005059	0	0	0	0	0	1	0	0	0		isochorismatase domain-containing protein 2%2C mitochondrial precursor [Source:VB Community Annotation]	ID=gene:CPIJ005059;biotype=protein_coding;description=isochorismatase domain-containing protein 2%2C mitochondrial precursor [Source:VB Community Annotation];gene_id=CPIJ005059;logic_name=vectorbase_culex
CPIJ005083	0	0	0	0	0	0	0	0	1		Pre-mRNA-splicing factor 18 [Source:UniProtKB/TrEMBL%3BAcc:B0WCY0]	ID=gene:CPIJ005083;biotype=protein_coding;description=Pre-mRNA-splicing factor 18 [Source:UniProtKB/TrEMBL%3BAcc:B0WCY0];gene_id=CPIJ005083;logic_name=vectorbase_culex
CPIJ005084	0	0	0	0	0	1	1	0	0		Coiled-coil domain-containing protein 124 [Source:UniProtKB/TrEMBL%3BAcc:B0WCY1]	ID=gene:CPIJ005084;biotype=protein_coding;description=Coiled-coil domain-containing protein 124 [Source:UniProtKB/TrEMBL%3BAcc:B0WCY1];gene_id=CPIJ005084;logic_name=vectorbase_culex
CPIJ005135	0	0	0	0	0	0	1	0	1		Peroxisome assembly factor 1 [Source:UniProtKB/TrEMBL%3BAcc:B0WDD2]	ID=gene:CPIJ005135;biotype=protein_coding;description=Peroxisome assembly factor 1 [Source:UniProtKB/TrEMBL%3BAcc:B0WDD2];gene_id=CPIJ005135;logic_name=vectorbase_culex
CPIJ005148	0	0	0	0	1	0	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WDZ4]	ID=gene:CPIJ005148;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WDZ4];gene_id=CPIJ005148;logic_name=vectorbase_culex
